"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"ko00280","ko00280","Valine, leucine and isoleucine degradation","14/266","25/2360",5.46910461083469e-08,1.05006808528026e-05,9.84438829950245e-06,"K00626/K00253/K01965/K01968/K14085/K07513/K07511/K00140/K00167/K00826/K00020/K00166/K05607/K09699",14
"ko00195","ko00195","Photosynthesis","14/266","34/2360",6.61530719372392e-06,0.000635069490597497,0.000595377647435153,"K02703/K02704/K02690/K02689/K02112/K02113/K02716/K02706/K02692/K08901/K02693/K02698/K02109/K08905",14
"ko00071","ko00071","Fatty acid degradation","7/266","11/2360",4.74290773633369e-05,0.00303546095125356,0.00284574464180021,"K00626/K14085/K07513/K07511/K10527/K00232/K01897",7
"ko01110","ko01110","Biosynthesis of secondary metabolites","68/266","410/2360",0.000223242761576075,0.0107156525556516,0.0100459242709234,"K00626/K00083/K10717/K14674/K01601/K01963/K00616/K22013/K01965/K01662/K00276/K01637/K00134/K14085/K07513/K03781/K07511/K00703/K10527/K00059/K00167/K05894/K09834/K01214/K01187/K00232/K18010/K02303/K17497/K10258/K01177/K00927/K01807/K01188/K05349/K00318/K08242/K13071/K13606/K02259/K00293/K14157/K00826/K03183/K00002/K01610/K13679/K15747/K00750/K10046/K15892/K22389/K00235/K01599/K00166/K01568/K11751/K19970/K13545/K01647/K00021/K11752/K00958/K13811/K09699/K01638/K00695/K13600",68
"ko01200","ko01200","Carbon metabolism","22/266","96/2360",0.00067136341946811,0.0230899394903285,0.0216468182721829,"K00626/K00261/K00074/K01601/K01963/K00616/K01965/K01637/K00134/K03781/K07511/K00140/K00232/K00927/K01807/K00028/K00029/K01610/K00235/K01647/K01595/K01638",22
"ko01120","ko01120","Microbial metabolism in diverse environments","31/266","155/2360",0.000721560609072764,0.0230899394903285,0.0216468182721829,"K00626/K00261/K00074/K01601/K01963/K00616/K01965/K01555/K00860/K01637/K00134/K14085/K07511/K00262/K00275/K00451/K02303/K00927/K01807/K00028/K00029/K00002/K01610/K00235/K01647/K00958/K13811/K01466/K01595/K01638/K14977",31
"ko00196","ko00196","Photosynthesis - antenna proteins","6/266","12/2360",0.00099472883646079,0.0272839909429245,0.0255787415089917,"K08908/K08912/K08913/K08916/K08915/K08909",6
"ko01212","ko01212","Fatty acid metabolism","10/266","31/2360",0.00143159979738089,0.0343583951371413,0.03221099544107,"K00626/K01963/K07513/K07511/K10527/K00059/K01074/K00232/K10258/K01897",10
"ko00640","ko00640","Propanoate metabolism","8/266","22/2360",0.00182153368173744,0.0388593852103988,0.0364306736347488,"K01963/K01965/K07511/K00140/K00167/K00232/K00166/K09699",8
"ko00500","ko00500","Starch and sucrose metabolism","9/266","30/2360",0.00431004135853689,0.0794993226144983,0.0745306149510921,"K00703/K01214/K01187/K01177/K01188/K05349/K13679/K00750/K00695",9
"ko00710","ko00710","Carbon fixation in photosynthetic organisms","8/266","25/2360",0.00455464869145563,0.0794993226144983,0.0745306149510921,"K01601/K00134/K00927/K01807/K00028/K00029/K01610/K01595",8
"ko00860","ko00860","Porphyrin metabolism","9/266","32/2360",0.00689957480362229,0.110393196857957,0.103493622054334,"K22013/K18010/K02303/K13071/K13606/K02259/K01599/K13545/K13600",9
"ko00620","ko00620","Pyruvate metabolism","9/266","34/2360",0.0105409871330559,0.152525308450618,0.142992476672454,"K00626/K01963/K14085/K00028/K00029/K00002/K01610/K01595/K01638",9
"ko04814","ko04814","Motor proteins","6/266","18/2360",0.0111216370745242,0.152525308450618,0.142992476672454,"K10400/K10405/K10393/K07375/K10406/K11498",6
"ko00410","ko00410","beta-Alanine metabolism","5/266","15/2360",0.0202949836277283,0.259775790434923,0.24353980353274,"K00276/K14085/K07511/K00140/K00232",5
"ko00310","ko00310","Lysine degradation","5/266","16/2360",0.0268712246489469,0.276949579540195,0.259640230818933,"K00626/K14085/K07511/K00293/K14157",5
"ko00380","ko00380","Tryptophan metabolism","5/266","16/2360",0.0268712246489469,0.276949579540195,0.259640230818933,"K00626/K14085/K03781/K07511/K00502",5
"ko02020","ko02020","Two-component system","4/266","11/2360",0.0274064688086651,0.276949579540195,0.259640230818933,"K00626/K10255/K02259/K01051",4
"ko03320","ko03320","PPAR signaling pathway","4/266","11/2360",0.0274064688086651,0.276949579540195,0.259640230818933,"K07513/K00232/K00029/K01897",4
"ko04068","ko04068","FoxO signaling pathway","5/266","18/2360",0.0437176609676984,0.419689545289904,0.393458948709285,"K04728/K03781/K07200/K03875/K08341",5
"ko00040","ko00040","Pentose and glucuronate interconversions","4/266","13/2360",0.0495758980737843,0.453265353817456,0.424936269203865,"K01728/K00002/K00012/K01051",4
"ko00010","ko00010","Glycolysis / Gluconeogenesis","7/266","32/2360",0.0606620108658328,0.495833322501749,0.46484373984539,"K03103/K00134/K14085/K00927/K00002/K01610/K01568",7
"ko00630","ko00630","Glyoxylate and dicarboxylate metabolism","7/266","32/2360",0.0606620108658328,0.495833322501749,0.46484373984539,"K00626/K01601/K01965/K01637/K03781/K01647/K01638",7
"ko02010","ko02010","ABC transporters","4/266","14/2360",0.0634588862084746,0.495833322501749,0.46484373984539,"K05681/K05655/K05657/K05673",4
"ko04146","ko04146","Peroxisome","8/266","39/2360",0.0645616305340819,0.495833322501749,0.46484373984539,"K07513/K03781/K13347/K13348/K00232/K01897/K03426/K13354",8
"ko00920","ko00920","Sulfur metabolism","4/266","15/2360",0.0791548507832914,0.562878938903405,0.527699005221942,"K00860/K17285/K00958/K13811",4
"ko05205","ko05205","Proteoglycans in cancer","4/266","15/2360",0.0791548507832914,0.562878938903405,0.527699005221942,"K01365/K04515/K12823/K16865",4
"ko00790","ko00790","Folate biosynthesis","5/266","22/2360",0.0928213764860476,0.614541527080039,0.576132681637537,"K01724/K00500/K00502/K00079/K01307",5
"ko04217","ko04217","Necroptosis","5/266","22/2360",0.0928213764860476,0.614541527080039,0.576132681637537,"K00261/K05864/K15040/K04515/K10802",5
"ko04621","ko04621","NOD-like receptor signaling pathway","4/266","16/2360",0.0965827261614062,0.618129447433,0.579496356968437,"K15040/K04733/K03671/K08341",4
"ko00053","ko00053","Ascorbate and aldarate metabolism","4/266","17/2360",0.115634885015297,0.708277627953798,0.664010276206685,"K14085/K00002/K10046/K00012",4
"ko00062","ko00062","Fatty acid elongation","3/266","11/2360",0.118046271325633,0.708277627953798,0.664010276206685,"K07511/K01074/K10258",3
"ko00350","ko00350","Tyrosine metabolism","4/266","18/2360",0.136182663314611,0.751793045151546,0.704805979829574,"K01555/K00276/K00545/K00451",4
"ko00650","ko00650","Butanoate metabolism","3/266","12/2360",0.144876784742746,0.751793045151546,0.704805979829574,"K00626/K00074/K07511",3
"ko00910","ko00910","Nitrogen metabolism","3/266","12/2360",0.144876784742746,0.751793045151546,0.704805979829574,"K00261/K00262/K02575",3
"ko01040","ko01040","Biosynthesis of unsaturated fatty acids","3/266","12/2360",0.144876784742746,0.751793045151546,0.704805979829574,"K07513/K00232/K10258",3
"ko02024","ko02024","Quorum sensing","3/266","12/2360",0.144876784742746,0.751793045151546,0.704805979829574,"K01728/K01897/K11752",3
"ko04213","ko04213","Longevity regulating pathway - multiple species","3/266","13/2360",0.173467050743434,0.838688846459537,0.786270793555816,"K03781/K03695/K07200",3
"ko04361","ko04361","Axon regeneration","3/266","13/2360",0.173467050743434,0.838688846459537,0.786270793555816,"K00502/K10393/K11593",3
"ko00561","ko00561","Glycerolipid metabolism","5/266","28/2360",0.201159983237623,0.838688846459537,0.786270793555816,"K14674/K14457/K14085/K01054/K00002",5
"ko00052","ko00052","Galactose metabolism","3/266","14/2360",0.203469277434787,0.838688846459537,0.786270793555816,"K01190/K01187/K06617",3
"ko00360","ko00360","Phenylalanine metabolism","3/266","14/2360",0.203469277434787,0.838688846459537,0.786270793555816,"K00074/K00276/K00500",3
"ko00785","ko00785","Lipoic acid metabolism","3/266","14/2360",0.203469277434787,0.838688846459537,0.786270793555816,"K00167/K00166/K09699",3
"ko04024","ko04024","cAMP signaling pathway","3/266","14/2360",0.203469277434787,0.838688846459537,0.786270793555816,"K04515/K00232/K05673",3
"ko05418","ko05418","Fluid shear stress and atherosclerosis","3/266","14/2360",0.203469277434787,0.838688846459537,0.786270793555816,"K01365/K00799/K03671",3
"ko00051","ko00051","Fructose and mannose metabolism","4/266","21/2360",0.205304040539574,0.838688846459537,0.786270793555816,"K19355/K02377/K17497/K01711",4
"ko04936","ko04936","Alcoholic liver disease","4/266","21/2360",0.205304040539574,0.838688846459537,0.786270793555816,"K14085/K04733/K00232/K07200",4
"ko04066","ko04066","HIF-1 signaling pathway","4/266","22/2360",0.230300188107025,0.919044770341856,0.86160447219549,"K00134/K04515/K00927/K03873",4
"ko00720","ko00720","Carbon fixation pathways in prokaryotes","3/266","15/2360",0.234547884097661,0.919044770341856,0.86160447219549,"K00626/K01963/K01595",3
"ko05130","ko05130","Pathogenic Escherichia coli infection","5/266","30/2360",0.244141697586316,0.937504118731455,0.878910111310739,"K00134/K04733/K07375/K07874/K06185",5
"ko00520","ko00520","Amino sugar and nucleotide sugar metabolism","6/266","38/2360",0.251814048928936,0.948005831261878,0.88875546680801,"K02377/K17497/K01711/K10046/K01183/K00012",6
"ko00230","ko00230","Purine metabolism","8/266","55/2360",0.275077578154626,1,0.9375,"K00860/K01519/K11751/K19970/K00958/K13811/K01466/K14977",8
"ko00061","ko00061","Fatty acid biosynthesis","3/266","18/2360",0.331191236071598,1,0.9375,"K01963/K00059/K01897",3
"ko00760","ko00760","Nicotinate and nicotinamide metabolism","3/266","18/2360",0.331191236071598,1,0.9375,"K03426/K11751/K19970",3
"ko00983","ko00983","Drug metabolism - other enzymes","3/266","18/2360",0.331191236071598,1,0.9375,"K00799/K01520/K01519",3
"ko04210","ko04210","Apoptosis","3/266","18/2360",0.331191236071598,1,0.9375,"K01365/K04728/K01379",3
"ko05202","ko05202","Transcriptional misregulation in cancer","3/266","18/2360",0.331191236071598,1,0.9375,"K04728/K11253/K12823",3
"ko01250","ko01250","Biosynthesis of nucleotide sugars","5/266","34/2360",0.335741092588843,1,0.9375,"K02377/K17497/K01711/K10046/K00012",5
"ko00562","ko00562","Inositol phosphate metabolism","4/266","27/2360",0.362686333816283,1,0.9375,"K03103/K00140/K01765/K18081",4
"ko04626","ko04626","Plant-pathogen interaction","4/266","27/2360",0.362686333816283,1,0.9375,"K13412/K13449/K13457/K13448",4
"ko00020","ko00020","Citrate cycle (TCA cycle)","3/266","19/2360",0.363649297244883,1,0.9375,"K01610/K00235/K01647",3
"ko00600","ko00600","Sphingolipid metabolism","3/266","19/2360",0.363649297244883,1,0.9375,"K04712/K01190/K12349",3
"ko04613","ko04613","Neutrophil extracellular trap formation","3/266","19/2360",0.363649297244883,1,0.9375,"K15040/K10802/K11253",3
"ko05208","ko05208","Chemical carcinogenesis - reactive oxygen species","7/266","52/2360",0.369331427323624,1,0.9375,"K02132/K00799/K15040/K03781/K00002/K00235/K00079",7
"ko00900","ko00900","Terpenoid backbone biosynthesis","4/266","28/2360",0.389607392246059,1,0.9375,"K00626/K01662/K15892/K00021",4
"ko04218","ko04218","Cellular senescence","4/266","28/2360",0.389607392246059,1,0.9375,"K04728/K05864/K15040/K21776",4
"ko00100","ko00100","Steroid biosynthesis","3/266","20/2360",0.395850447362822,1,0.9375,"K14674/K01052/K08242",3
"ko00190","ko00190","Oxidative phosphorylation","8/266","62/2360",0.398960280631257,1,0.9375,"K02132/K02260/K02112/K02113/K01507/K02259/K00235/K02109",8
"ko04020","ko04020","Calcium signaling pathway","2/266","12/2360",0.399156877809476,1,0.9375,"K15040/K04515",2
"ko04728","ko04728","Dopaminergic synapse","2/266","12/2360",0.399156877809476,1,0.9375,"K00545/K04515",2
"ko00340","ko00340","Histidine metabolism","2/266","13/2360",0.440191391821483,1,0.9375,"K20246/K14085",2
"ko04612","ko04612","Antigen processing and presentation","2/266","13/2360",0.440191391821483,1,0.9375,"K01365/K09489",2
"ko04714","ko04714","Thermogenesis","9/266","73/2360",0.44129296314037,1,0.9375,"K02132/K02260/K15109/K01054/K02259/K18163/K01897/K07200/K00235",9
"ko05417","ko05417","Lipid and atherosclerosis","3/266","22/2360",0.458762075579627,1,0.9375,"K04733/K04515/K09489",3
"ko00450","ko00450","Selenocompound metabolism","2/266","14/2360",0.479645077552599,1,0.9375,"K00958/K13811",2
"ko05231","ko05231","Choline metabolism in cancer","2/266","14/2360",0.479645077552599,1,0.9375,"K08200/K08202",2
"ko05415","ko05415","Diabetic cardiomyopathy","7/266","58/2360",0.485237388457878,1,0.9375,"K02132/K19720/K00134/K15040/K04515/K00235/K01379",7
"ko04071","ko04071","Sphingolipid signaling pathway","3/266","23/2360",0.489176430787432,1,0.9375,"K04712/K12349/K01379",3
"ko04212","ko04212","Longevity regulating pathway - worm","3/266","23/2360",0.489176430787432,1,0.9375,"K00799/K03781/K08341",3
"ko04142","ko04142","Lysosome","5/266","41/2360",0.498558848799623,1,0.9375,"K01365/K01074/K01052/K01379/K01382",5
"ko04211","ko04211","Longevity regulating pathway","2/266","15/2360",0.517352338084128,1,0.9375,"K03781/K07200",2
"ko04722","ko04722","Neurotrophin signaling pathway","2/266","15/2360",0.517352338084128,1,0.9375,"K04733/K04515",2
"ko04921","ko04921","Oxytocin signaling pathway","2/266","15/2360",0.517352338084128,1,0.9375,"K04515/K07200",2
"ko04075","ko04075","Plant hormone signal transduction","3/266","24/2360",0.518738660999602,1,0.9375,"K13449/K14496/K14504",3
"ko05152","ko05152","Tuberculosis","3/266","25/2360",0.547357513690993,1,0.9375,"K04733/K04515/K01379",3
"ko01524","ko01524","Platinum drug resistance","2/266","16/2360",0.553204672457922,1,0.9375,"K04728/K00799",2
"ko04310","ko04310","Wnt signaling pathway","2/266","16/2360",0.553204672457922,1,0.9375,"K04515/K19882",2
"ko04931","ko04931","Insulin resistance","2/266","16/2360",0.553204672457922,1,0.9375,"K09667/K07200",2
"ko01210","ko01210","2-Oxocarboxylic acid metabolism","5/266","44/2360",0.564045526901768,1,0.9375,"K00167/K00826/K00166/K01647/K09699",5
"ko01240","ko01240","Biosynthesis of cofactors","14/266","126/2360",0.567673644593468,1,0.9375,"K00059/K09834/K00275/K02303/K17497/K02259/K00826/K03183/K00002/K10046/K01599/K11752/K00012/K01307",14
"ko04016","ko04016","MAPK signaling pathway - plant","4/266","35/2360",0.568247813859825,1,0.9375,"K13449/K14496/K03781/K20728",4
"ko00030","ko00030","Pentose phosphate pathway","2/266","17/2360",0.587139987815143,1,0.9375,"K00616/K01807",2
"ko04140","ko04140","Autophagy - animal","6/266","55/2360",0.599059787327854,1,0.9375,"K01365/K17987/K10802/K07874/K01379/K08341",6
"ko05170","ko05170","Human immunodeficiency virus 1 infection","3/266","28/2360",0.626922152183678,1,0.9375,"K04728/K04733/K03873",3
"ko00480","ko00480","Glutathione metabolism","2/266","19/2360",0.64919055643464,1,0.9375,"K01255/K00799",2
"ko04137","ko04137","Mitophagy - animal","2/266","19/2360",0.64919055643464,1,0.9375,"K17987/K08341",2
"ko05206","ko05206","MicroRNAs in cancer","2/266","19/2360",0.64919055643464,1,0.9375,"K04728/K16865",2
"ko00564","ko00564","Glycerophospholipid metabolism","4/266","39/2360",0.656399237377933,1,0.9375,"K14674/K05929/K22389/K13621",4
"ko01232","ko01232","Nucleotide metabolism","4/266","39/2360",0.656399237377933,1,0.9375,"K01520/K01519/K11751/K19970",4
"ko04114","ko04114","Oocyte meiosis","3/266","30/2360",0.674366256173818,1,0.9375,"K06636/K04515/K02365",3
"ko00130","ko00130","Ubiquinone and other terpenoid-quinone biosynthesis","2/266","20/2360",0.677339457442619,1,0.9375,"K09834/K03183",2
"ko04922","ko04922","Glucagon signaling pathway","2/266","20/2360",0.677339457442619,1,0.9375,"K04515/K07200",2
"ko05200","ko05200","Pathways in cancer","4/266","41/2360",0.695685285368414,1,0.9375,"K00799/K04515/K03873/K03875",4
"ko05207","ko05207","Chemical carcinogenesis - receptor activation","1/266","10/2360",0.698288548183859,1,0.9375,"K00799",1
"ko00220","ko00220","Arginine biosynthesis","2/266","21/2360",0.703626960138331,1,0.9375,"K00261/K00262",2
"ko00330","ko00330","Arginine and proline metabolism","2/266","21/2360",0.703626960138331,1,0.9375,"K14085/K00318",2
"ko00730","ko00730","Thiamine metabolism","1/266","11/2360",0.732439716772409,1,0.9375,"K01662",1
"ko00740","ko00740","Riboflavin metabolism","1/266","11/2360",0.732439716772409,1,0.9375,"K11752",1
"ko04014","ko04014","Ras signaling pathway","1/266","11/2360",0.732439716772409,1,0.9375,"K10632",1
"ko05211","ko05211","Renal cell carcinoma","1/266","11/2360",0.732439716772409,1,0.9375,"K03873",1
"ko05214","ko05214","Glioma","1/266","11/2360",0.732439716772409,1,0.9375,"K04515",1
"ko04530","ko04530","Tight junction","2/266","23/2360",0.750869355051989,1,0.9375,"K09489/K07200",2
"ko04810","ko04810","Regulation of actin cytoskeleton","2/266","23/2360",0.750869355051989,1,0.9375,"K05768/K05766",2
"ko00240","ko00240","Pyrimidine metabolism","3/266","34/2360",0.755616900186576,1,0.9375,"K01520/K11751/K19970",3
"ko03410","ko03410","Base excision repair","3/266","34/2360",0.755616900186576,1,0.9375,"K10802/K10563/K10773",3
"ko04022","ko04022","cGMP-PKG signaling pathway","1/266","12/2360",0.762738156678131,1,0.9375,"K15040",1
"ko04115","ko04115","p53 signaling pathway","1/266","12/2360",0.762738156678131,1,0.9375,"K04728",1
"ko04261","ko04261","Adrenergic signaling in cardiomyocytes","1/266","12/2360",0.762738156678131,1,0.9375,"K04515",1
"ko05132","ko05132","Salmonella infection","4/266","46/2360",0.779548328552992,1,0.9375,"K00134/K04733/K07375/K03671",4
"ko00290","ko00290","Valine, leucine and isoleucine biosynthesis","1/266","13/2360",0.789617053749518,1,0.9375,"K00826",1
"ko04011","ko04011","MAPK signaling pathway - yeast","1/266","13/2360",0.789617053749518,1,0.9375,"K03781",1
"ko04013","ko04013","MAPK signaling pathway - fly","1/266","13/2360",0.789617053749518,1,0.9375,"K20223",1
"ko04214","ko04214","Apoptosis - fly","1/266","13/2360",0.789617053749518,1,0.9375,"K04728",1
"ko04934","ko04934","Cushing syndrome","1/266","13/2360",0.789617053749518,1,0.9375,"K04515",1
"ko05134","ko05134","Legionellosis","1/266","13/2360",0.789617053749518,1,0.9375,"K07874",1
"ko04120","ko04120","Ubiquitin mediated proteolysis","6/266","68/2360",0.796360545110993,1,0.9375,"K10587/K10614/K10615/K03873/K03875/K06688",6
"ko04371","ko04371","Apelin signaling pathway","1/266","14/2360",0.813461051918511,1,0.9375,"K07200",1
"ko03020","ko03020","RNA polymerase","2/266","27/2360",0.826193352796881,1,0.9375,"K16251/K03010",2
"ko00906","ko00906","Carotenoid biosynthesis","1/266","15/2360",0.834611674335253,1,0.9375,"K15747",1
"ko04139","ko04139","Mitophagy - yeast","1/266","15/2360",0.834611674335253,1,0.9375,"K08341",1
"ko05161","ko05161","Hepatitis B","1/266","15/2360",0.834611674335253,1,0.9375,"K04733",1
"ko05131","ko05131","Shigellosis","3/266","40/2360",0.846103195049209,1,0.9375,"K04728/K05864/K11253",3
"ko05203","ko05203","Viral carcinogenesis","3/266","40/2360",0.846103195049209,1,0.9375,"K05768/K10587/K03875",3
"ko04010","ko04010","MAPK signaling pathway","1/266","16/2360",0.853372141127075,1,0.9375,"K04733",1
"ko05162","ko05162","Measles","1/266","16/2360",0.853372141127075,1,0.9375,"K04733",1
"ko05323","ko05323","Rheumatoid arthritis","1/266","16/2360",0.853372141127075,1,0.9375,"K01365",1
"ko00250","ko00250","Alanine, aspartate and glutamate metabolism","2/266","29/2360",0.855618606147657,1,0.9375,"K00261/K00262",2
"ko04152","ko04152","AMPK signaling pathway","2/266","29/2360",0.855618606147657,1,0.9375,"K07200/K00021",2
"ko04111","ko04111","Cell cycle - yeast","4/266","53/2360",0.865054161557196,1,0.9375,"K06674/K06636/K06670/K02365",4
"ko05166","ko05166","Human T-cell leukemia virus 1 infection","3/266","42/2360",0.869046539576719,1,0.9375,"K04728/K15040/K02365",3
"ko00680","ko00680","Methane metabolism","1/266","17/2360",0.870011650709071,1,0.9375,"K01595",1
"ko04666","ko04666","Fc gamma R-mediated phagocytosis","1/266","17/2360",0.870011650709071,1,0.9375,"K05768",1
"ko05034","ko05034","Alcoholism","1/266","17/2360",0.870011650709071,1,0.9375,"K11253",1
"ko04145","ko04145","Phagosome","2/266","31/2360",0.880440739743621,1,0.9375,"K01365/K07375",2
"ko05135","ko05135","Yersinia infection","1/266","18/2360",0.884769184175305,1,0.9375,"K04733",1
"ko05164","ko05164","Influenza A","1/266","18/2360",0.884769184175305,1,0.9375,"K04733",1
"ko03440","ko03440","Homologous recombination","2/266","32/2360",0.891321124914515,1,0.9375,"K04728/K07466",2
"ko00770","ko00770","Pantothenate and CoA biosynthesis","1/266","19/2360",0.897856885716453,1,0.9375,"K00826",1
"ko05225","ko05225","Hepatocellular carcinoma","1/266","19/2360",0.897856885716453,1,0.9375,"K00799",1
"ko01230","ko01230","Biosynthesis of amino acids","8/266","101/2360",0.899217731104595,1,0.9375,"K00616/K00134/K00500/K00927/K01807/K00293/K00826/K01647",8
"ko04110","ko04110","Cell cycle","5/266","69/2360",0.904188249872723,1,0.9375,"K04728/K06636/K06670/K02365/K03875",5
"ko03083","ko03083","Polycomb repressive complex","1/266","20/2360",0.909463066151918,1,0.9375,"K09667",1
"ko04136","ko04136","Autophagy - other","1/266","20/2360",0.909463066151918,1,0.9375,"K08341",1
"ko00260","ko00260","Glycine, serine and threonine metabolism","2/266","35/2360",0.918697849311494,1,0.9375,"K00276/K14085",2
"ko03430","ko03430","Mismatch repair","1/266","21/2360",0.919754871452598,1,0.9375,"K07466",1
"ko05168","ko05168","Herpes simplex virus 1 infection","1/266","21/2360",0.919754871452598,1,0.9375,"K04733",1
"ko04910","ko04910","Insulin signaling pathway","1/266","22/2360",0.928880653493474,1,0.9375,"K07200",1
"ko04932","ko04932","Non-alcoholic fatty liver disease","2/266","37/2360",0.933203606129542,1,0.9375,"K07200/K00235",2
"ko00400","ko00400","Phenylalanine, tyrosine and tryptophan biosynthesis","1/266","23/2360",0.936972076149905,1,0.9375,"K00500",1
"ko00513","ko00513","Various types of N-glycan biosynthesis","1/266","23/2360",0.936972076149905,1,0.9375,"K03714",1
"ko04723","ko04723","Retrograde endocannabinoid signaling","1/266","23/2360",0.936972076149905,1,0.9375,"K01054",1
"ko04113","ko04113","Meiosis - yeast","2/266","38/2360",0.939505717596001,1,0.9375,"K06636/K02365",2
"ko04070","ko04070","Phosphatidylinositol signaling system","1/266","24/2360",0.944145986181623,1,0.9375,"K18081",1
"ko05169","ko05169","Epstein-Barr virus infection","2/266","39/2360",0.945242271884278,1,0.9375,"K04733/K03875",2
"ko03060","ko03060","Protein export","1/266","25/2360",0.950506075083887,1,0.9375,"K03116",1
"ko00270","ko00270","Cysteine and methionine metabolism","2/266","41/2360",0.955202775718189,1,0.9375,"K00826/K22207",2
"ko05012","ko05012","Parkinson disease","6/266","95/2360",0.966402406543422,1,0.9375,"K02132/K15040/K04515/K07375/K03671/K00235",6
"ko05165","ko05165","Human papillomavirus infection","2/266","44/2360",0.966968124775327,1,0.9375,"K04728/K10587",2
"ko00970","ko00970","Aminoacyl-tRNA biosynthesis","1/266","29/2360",0.969499799621785,1,0.9375,"K01869",1
"ko03460","ko03460","Fanconi anemia pathway","1/266","29/2360",0.969499799621785,1,0.9375,"K07466",1
"ko04150","ko04150","mTOR signaling pathway","1/266","29/2360",0.969499799621785,1,0.9375,"K03875",1
"ko03030","ko03030","DNA replication","1/266","31/2360",0.976064955075736,1,0.9375,"K07466",1
"ko05022","ko05022","Pathways of neurodegeneration - multiple diseases","8/266","124/2360",0.977485086673683,1,0.9375,"K02132/K05864/K15040/K03781/K04515/K07375/K00235/K07874",8
"ko03420","ko03420","Nucleotide excision repair","2/266","49/2360",0.980286357186786,1,0.9375,"K03010/K07466",2
"ko03050","ko03050","Proteasome","1/266","37/2360",0.98844815306005,1,0.9375,"K06699",1
"ko05010","ko05010","Alzheimer disease","6/266","109/2360",0.988691068004943,1,0.9375,"K02132/K05864/K00134/K15040/K07375/K00235",6
"ko03082","ko03082","ATP-dependent chromatin remodeling","1/266","38/2360",0.989770921586106,1,0.9375,"K11667",1
"ko05020","ko05020","Prion disease","4/266","87/2360",0.9920831507316,1,0.9375,"K02132/K15040/K07375/K00235",4
"ko05016","ko05016","Huntington disease","5/266","110/2360",0.99660082594836,1,0.9375,"K03010/K02132/K15040/K07375/K00235",5
"ko04144","ko04144","Endocytosis","2/266","66/2360",0.996795512364428,1,0.9375,"K12471/K12188",2
"ko04138","ko04138","Autophagy - yeast","1/266","50/2360",0.997633183773216,1,0.9375,"K08341",1
"ko03018","ko03018","RNA degradation","1/266","52/2360",0.998146989486482,1,0.9375,"K12580",1
"ko03008","ko03008","Ribosome biogenesis in eukaryotes","1/266","57/2360",0.998996003746266,1,0.9375,"K14555",1
"ko05017","ko05017","Spinocerebellar ataxia","1/266","58/2360",0.999111966839403,1,0.9375,"K15040",1
"ko05014","ko05014","Amyotrophic lateral sclerosis","5/266","134/2360",0.999641226365046,1,0.9375,"K02132/K03781/K07375/K00235/K07874",5
"ko03013","ko03013","Nucleocytoplasmic transport","1/266","69/2360",0.999770667222907,1,0.9375,"K20223",1
"ko03010","ko03010","Ribosome","3/266","118/2360",0.999928467992929,1,0.9375,"K02992/K02982/K02952",3
"ko04141","ko04141","Protein processing in endoplasmic reticulum","1/266","79/2360",0.999933420326799,1,0.9375,"K13993",1
"ko05171","ko05171","Coronavirus disease - COVID-19","1/266","82/2360",0.999954110270971,1,0.9375,"K04733",1
"ko03040","ko03040","Spliceosome","1/266","106/2360",0.99999770654786,1,0.9375,"K12823",1
"ko04260","ko04260","Cardiac muscle contraction","0/266","11/2360",1,1,0.9375,"",0
"ko04712","ko04712","Circadian rhythm - plant","0/266","14/2360",1,1,0.9375,"",0
